title,artist,rank,genre
Failure,Breaking Benjamin,32,rock
What Kind Of Man,Florence + The Machine,33,rock
Let It Go,James Bay,34,rock
Ship To Wreck,Florence + The Machine,35,rock
Hollow Moon (Bad Wolf),AWOLNATION,36,rock
2 Heads,Coleman Hell,37,rock
Dead Inside,Muse,38,rock
Cigarette Daydreams,Cage The Elephant,39,rock
Lampshades On Fire,Modest Mouse,40,rock
Crystals,Of Monsters And Men,41,rock
Black Sun,Death Cab For Cutie,42,rock
My Type,Saint Motel,43,rock
Could Have Been Me,The Struts,44,rock
The Vengeful One,Disturbed,45,rock
Something From Nothing,Foo Fighters,46,rock
Electric Love,BORNS,47,rock
Blank Space,I Prevail,48,rock
Fairly Local,twenty one pilots,49,rock
Don't Wanna Fight,Alabama Shakes,50,rock
Heavy Is The Head,Zac Brown Band Featuring Chris Cornell,51,rock
First Kiss,Kid Rock,52,rock
Reflections,MisterWives,53,rock
Throne,Bring Me The Horizon,54,rock
Mess Is Mine,Vance Joy,55,rock
I Am,AWOLNATION,56,rock
Roots,Imagine Dragons,57,rock
Angels Fall,Breaking Benjamin,58,rock
Footsteps,Pop Evil,59,rock
Rollercoaster,Bleachers,60,rock
Lane Boy,twenty one pilots,61,rock
Lydia,Highly Suspect,62,rock
Heavydirtysoul,twenty one pilots,63,rock
Drown,Bring Me The Horizon,64,rock
Work Song,Hozier,65,rock
From Eden,Hozier,66,rock
Victorious,Panic! At The Disco,67,rock
The Judge,twenty one pilots,68,rock
Congregation,Foo Fighters,69,rock
Blame It On Me,George Ezra,70,rock
Angel,Theory Of A Deadman,71,rock
Go Big Or Go Home,American Authors,72,rock
Doubt,twenty one pilots,73,rock
Figure It Out,Royal Blood,74,rock
Different Colors,WALK THE MOON,75,rock
Gravity,Papa Roach,76,rock
I Am Machine,Three Days Grace,77,rock
Flashed Junk Mind,Milky Chance,78,rock
The Kids Aren't Alright,Fall Out Boy,79,rock
Same Damn Life,Seether,80,rock
Emperor's New Clothes,Panic! At The Disco,81,rock
R.I.P. 2 My Youth,The Neighbourhood,82,rock
Warriors,Imagine Dragons,83,rock
Sedona,Houndmouth.,84,rock
Coming For You,The Offspring,85,rock
Leave A Trace,CHVRCHES,86,rock
Wrong Side Of Heaven,Five Finger Death Punch,87,rock
Gooey,Glass Animals,88,rock
Gold,Imagine Dragons,89,rock
Happy Song,Bring Me The Horizon,90,rock
Snake Eyes,Mumford & Sons,91,rock
Angel Of Small Death And The Codeine Scene,Hozier,92,rock
Jenny,Nothing More,93,rock
Cherry Wine,Hozier,94,rock
Mercy,Muse,95,rock
Polarize,twenty one pilots,96,rock
I'm So Sorry,Imagine Dragons,97,rock
Left Hand Free,alt-J,98,rock
The Blower's Daughter,Matt McAndrew,99,rock
Please,Sawyer Fredericks,100,rock
Stressed Out,twenty one pilots,1,rock
Ride,twenty one pilots,2,rock
Heathens,twenty one pilots,3,rock
Let It Go,James Bay,4,rock
Unsteady,X Ambassadors,5,rock
Ex's & Oh's,Elle King,6,rock
Hymn For The Weekend,Coldplay,7,rock
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",8,rock
The Sound Of Silence,Disturbed,9,rock
Adventure Of A Lifetime,Coldplay,10,rock
Ophelia,The Lumineers,11,rock
Renegades,X Ambassadors,12,rock
HandClap,Fitz And The Tantrums,13,rock
Irresistible,Fall Out Boy,14,rock
Dark Necessities,Red Hot Chili Peppers,15,rock
Walking On A Dream,Empire Of The Sun,16,rock
Bored To Death,Blink-182,17,rock
Shut Up And Dance,WALK THE MOON,18,rock
Brand New,Ben Rector,19,rock
Way Down We Go,KALEO,20,rock
Spirits,The Strumbellas,21,rock
Purple Rain,Prince And The Revolution,22,rock
Victorious,Panic! At The Disco,23,rock
When Doves Cry,Prince,24,rock
Emperor's New Clothes,Panic! At The Disco,25,rock
The Sound,The 1975,26,rock
River,Bishop Briggs,27,rock
Good Grief,Bastille,28,rock
Don't Threaten Me With A Good Time,Panic! At The Disco,29,rock
America's Sweetheart,Elle King,30,rock
Death Of A Bachelor,Panic! At The Disco,31,rock
Little Red Corvette,Prince,32,rock
Trouble,Cage The Elephant,33,rock
Uma Thurman,Fall Out Boy,34,rock
Genghis Khan,Miike Snow,35,rock
Feel Invincible,Skillet,36,rock
Let's Go Crazy,Prince And The Revolution,37,rock
S.O.B.,Nathaniel Rateliff & The Night Sweats,38,rock
Cleopatra,The Lumineers,39,rock
Wow,Beck,40,rock
Somebody Else,The 1975,41,rock
Bang Bang,Green Day,42,rock
Mess Around,Cage The Elephant,43,rock
All We Ever Knew,The Head And The Heart,44,rock
Bohemian Rhapsody,Panic! At The Disco,45,rock
State Of My Head,Shinedown,46,rock
The Devil's Bleeding Crown,Volbeat,47,rock
Mountain At My Gates,Foals,48,rock
Electric Love,BORNS,49,rock
Waste A Moment,Kings Of Leon,50,rock
You Don't Get Me High Anymore,Phantogram,51,rock
Trip Switch,Nothing But Thieves,52,rock
Cancer,twenty one pilots,53,rock
Kiss This,The Struts,54,rock
Fire And The Flood,Vance Joy,55,rock
Wash It All Away,Five Finger Death Punch,56,rock
LA Devotee,Panic! At The Disco,57,rock
The Light,Disturbed,58,rock
Hotel California,Eagles,59,rock
Something To Believe In,Young The Giant,60,rock
So Alive,Goo Goo Dolls,61,rock
Under Pressure,Queen & David Bowie,62,rock
Woman Woman,AWOLNATION,63,rock
Life Itself,Glass Animals,64,rock
Hardwired,Metallica,65,rock
Space Oddity,David Bowie,66,rock
Happiness,NEEDTOBREATHE,67,rock
Lazarus,David Bowie,68,rock
Welcome To Your Life,Grouplove,69,rock
Happy Song,Bring Me The Horizon,70,rock
Asking For It,Shinedown,71,rock
Chain Breaker,Zach Williams,72,rock
I Apologize,Five Finger Death Punch,73,rock
The Less I Know The Better,Tame Impala,74,rock
Up&Up,Coldplay,75,rock
Sound & Color,Alabama Shakes,76,rock
Start A Riot,Banners,77,rock
Gone,JR JR,78,rock
Goner,twenty one pilots,79,rock
Viva La Vida,Coldplay,80,rock
Take Me Down,The Pretty Reckless,81,rock
Take It From Me,KONGOS,82,rock
Take It All Back,Judah & The Lion,83,rock
Rotting In Vain,Korn,84,rock
We Don't Believe What's On TV,twenty one pilots,85,rock
Thank God For Girls,Weezer,86,rock
2 Heads,Coleman Hell,87,rock
Everglow,Coldplay,88,rock
Message Man,twenty one pilots,89,rock
Love Me,The 1975,90,rock
Burn The Witch,Radiohead,91,rock
She's Out Of Her Mind,Blink-182,92,rock
Nearly Forgot My Broken Heart,Chris Cornell,93,rock
Roots,Imagine Dragons,94,rock
Throne,Bring Me The Horizon,95,rock
Saint Cecilia,Foo Fighters,96,rock
The Ghosts Of Beverly Drive,Death Cab For Cutie,97,rock
UGH!,The 1975,98,rock
Let's Dance,David Bowie,99,rock
The Sound Of Silence,Simon & Garfunkel,100,rock
Believer,Imagine Dragons,1,rock
Heathens,twenty one pilots,2,rock
Feel It Still,Portugal. The Man,3,rock
Thunder,Imagine Dragons,4,rock
Heavy,Linkin Park Featuring Kiiara,5,rock
Ride,twenty one pilots,6,rock
Wish I Knew You,The Revivalists,7,rock
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",8,rock
Unsteady,X Ambassadors,9,rock
HandClap,Fitz And The Tantrums,10,rock
Human,Rag'n'Bone Man,11,rock
The Night We Met,Lord Huron,12,rock
Way Down We Go,KALEO,13,rock
Angela,The Lumineers,14,rock
Take It All Back,Judah & The Lion,15,rock
Whatever It Takes,Imagine Dragons,16,rock
Hard Times,Paramore,17,rock
The Man,The Killers,18,rock
Old Church Choir,Zach Williams,19,rock
Love,Lana Del Rey,20,rock
Lust For Life,Lana Del Rey Featuring The Weeknd,21,rock
Heavydirtysoul,twenty one pilots,22,rock
Love On The Weekend,John Mayer,23,rock
Ophelia,The Lumineers,24,rock
Chain Breaker,Zach Williams,25,rock
One More Light,Linkin Park,26,rock
Rx (Medicate),Theory Of A Deadman,27,rock
Numb,Linkin Park,28,rock
Run,Foo Fighters,29,rock
Still Breathing,Green Day,30,rock
In The End,Linkin Park,31,rock
Walk On Water,Thirty Seconds To Mars,32,rock
Hard Love,NEEDTOBREATHE,33,rock
Feels Like Summer,Weezer,34,rock
On Hold,The xx,35,rock
Hymn For The Weekend,Coldplay,36,rock
Waste A Moment,Kings Of Leon,37,rock
Cleopatra,The Lumineers,38,rock
My Name Is Human,Highly Suspect,39,rock
Don't Take The Money,Bleachers,40,rock
Testify,NEEDTOBREATHE,41,rock
Good News,Ocean Park Standoff,42,rock
High,Sir Sly,43,rock
Saturnz Barz,Gorillaz Featuring Popcaan,44,rock
Help,Papa Roach,45,rock
Lay It On Me,Vance Joy,46,rock
Free Fallin',Tom Petty,47,rock
Love Is Mystical,Cold War Kids,48,rock
Suit And Jacket,Judah & The Lion,49,rock
Somebody Else,The 1975,50,rock
The Way You Used To Do,Queens Of The Stone Age,51,rock
Little One,Highly Suspect,52,rock
Black Hole Sun,Soundgarden,53,rock
Walking The Wire,Imagine Dragons,54,rock
Everything Now,Arcade Fire,55,rock
Song #3,Stone Sour,56,rock
I Won't Back Down,Tom Petty,57,rock
How Did You Love,Shinedown,58,rock
Dig Down,Muse,59,rock
The Violence,Rise Against,60,rock
She's Out Of Her Mind,Blink-182,61,rock
The Sky Is A Neighborhood,Foo Fighters,62,rock
You're The Best Thing About Me,U2,63,rock
Middle Fingers,MISSIO,64,rock
Cold Cold Cold,Cage The Elephant,65,rock
In The Blood,John Mayer,66,rock
What I've Done,Linkin Park,67,rock
Lights Out,Royal Blood,68,rock
Blame,Bastille,69,rock
Fire Escape,Andrew McMahon In The Wilderness,70,rock
Mr. Blue Sky,Electric Light Orchestra,71,rock
"Atlas, Rise!",Metallica,72,rock
Not Easy,"Alex Da Kid Featuring X Ambassadors, Elle King & Wiz Khalifa",73,rock
Champion,Fall Out Boy Featuring RM,74,rock
The Last Of The Real Ones,Fall Out Boy,75,rock
Want You Back,HAIM,76,rock
Super Far,LANY,77,rock
Mary Jane's Last Dance,Tom Petty And The Heartbreakers,78,rock
The Chain,Fleetwood Mac,79,rock
Andromeda,Gorillaz Featuring D.R.A.M.,80,rock
Vacation,Dirty Heads,81,rock
Ahead Of Myself,X Ambassadors,82,rock
Highway Tune,Greta Van Fleet,83,rock
Monster,Starset,84,rock
Crawling,Linkin Park,85,rock
Two High,Moon Taxi,86,rock
Reverend,Kings Of Leon,87,rock
All The Pretty Girls,KALEO,88,rock
Sleep On The Floor,The Lumineers,89,rock
Up All Night,Beck,90,rock
Like A Stone,Audioslave,91,rock
Let You Down,Seether,92,rock
Go Robot,Red Hot Chili Peppers,93,rock
Square Hammer,Ghost,94,rock
In Cold Blood,alt-J,95,rock
The Cure,Unspoken,96,rock
Young And Menace,Fall Out Boy,97,rock
Stars,Skillet,98,rock
Wild Horses,Bishop Briggs,99,rock
