title,artist,rank,genre,year
Gold,Imagine Dragons,89,pop,2015
Happy Song,Bring Me The Horizon,90,pop,2015
Snake Eyes,Mumford & Sons,91,pop,2015
Angel Of Small Death And The Codeine Scene,Hozier,92,pop,2015
Jenny,Nothing More,93,pop,2015
Cherry Wine,Hozier,94,pop,2015
Mercy,Muse,95,pop,2015
Polarize,twenty one pilots,96,pop,2015
I'm So Sorry,Imagine Dragons,97,pop,2015
Left Hand Free,alt-J,98,pop,2015
The Blower's Daughter,Matt McAndrew,99,pop,2015
Please,Sawyer Fredericks,100,pop,2015
Stressed Out,twenty one pilots,1,pop,2016
Ride,twenty one pilots,2,pop,2016
Heathens,twenty one pilots,3,pop,2016
Let It Go,James Bay,4,pop,2016
Unsteady,X Ambassadors,5,pop,2016
Ex's & Oh's,Elle King,6,pop,2016
Hymn For The Weekend,Coldplay,7,pop,2016
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",8,pop,2016
The Sound Of Silence,Disturbed,9,pop,2016
Adventure Of A Lifetime,Coldplay,10,pop,2016
Ophelia,The Lumineers,11,pop,2016
Renegades,X Ambassadors,12,pop,2016
HandClap,Fitz And The Tantrums,13,pop,2016
Irresistible,Fall Out Boy,14,pop,2016
Dark Necessities,Red Hot Chili Peppers,15,pop,2016
Walking On A Dream,Empire Of The Sun,16,pop,2016
Bored To Death,Blink-182,17,pop,2016
Shut Up And Dance,WALK THE MOON,18,pop,2016
Brand New,Ben Rector,19,pop,2016
Way Down We Go,KALEO,20,pop,2016
Spirits,The Strumbellas,21,pop,2016
Purple Rain,Prince And The Revolution,22,pop,2016
Victorious,Panic! At The Disco,23,pop,2016
When Doves Cry,Prince,24,pop,2016
Emperor's New Clothes,Panic! At The Disco,25,pop,2016
The Sound,The 1975,26,pop,2016
River,Bishop Briggs,27,pop,2016
Good Grief,Bastille,28,pop,2016
Don't Threaten Me With A Good Time,Panic! At The Disco,29,pop,2016
America's Sweetheart,Elle King,30,pop,2016
Death Of A Bachelor,Panic! At The Disco,31,pop,2016
Little Red Corvette,Prince,32,pop,2016
Trouble,Cage The Elephant,33,pop,2016
Uma Thurman,Fall Out Boy,34,pop,2016
Genghis Khan,Miike Snow,35,pop,2016
Feel Invincible,Skillet,36,pop,2016
Let's Go Crazy,Prince And The Revolution,37,pop,2016
