title,artist,rank,genre,year
God Made Girls,RaeLynn,80,pop,2014
Show You Off,Dan + Shay,81,pop,2014
Lookin' For That Girl,Tim McGraw,82,pop,2014
Young Love,Kip Moore,83,pop,2014
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,84,pop,2014
Payback,Rascal Flatts,85,pop,2014
The Outsiders,Eric Church,86,pop,2014
Like A Cowboy,Randy Houser,87,pop,2014
Drinking Class,Lee Brice,88,pop,2014
Mine Would Be You,Blake Shelton,89,pop,2014
Follow Your Arrow,Kacey Musgraves,90,pop,2014
Tattoo,Hunter Hayes,91,pop,2014
Mean To Me,Brett Eldredge,92,pop,2014
Sun Daze,Florida Georgia Line,93,pop,2014
Homegrown Honey,Darius Rucker,94,pop,2014
Talladega,Eric Church,95,pop,2014
Rum,Brothers Osborne,96,pop,2014
Take It On Back,Chase Bryant,97,pop,2014
Clockwork,Easton Corbin,98,pop,2014
The Mona Lisa,Brad Paisley,99,pop,2014
Make Me Wanna,Thomas Rhett,100,pop,2014
Take Your Time,Sam Hunt,1,pop,2015
Girl Crush,Little Big Town,2,pop,2015
House Party,Sam Hunt,3,pop,2015
Kick The Dust Up,Luke Bryan,4,pop,2015
Crash And Burn,Thomas Rhett,5,pop,2015
Sangria,Blake Shelton,6,pop,2015
Homegrown,Zac Brown Band,7,pop,2015
Buy Me A Boat,Chris Janson,8,pop,2015
"John Cougar, John Deere, John 3:16",Keith Urban,9,pop,2015
Like A Wrecking Ball,Eric Church,10,pop,2015
Break Up With Him,Old Dominion,11,pop,2015
Strip It Down,Luke Bryan,12,pop,2015
I'm Comin' Over,Chris Young,13,pop,2015
Lose My Mind,Brett Eldredge,14,pop,2015
Drinking Class,Lee Brice,15,pop,2015
Loving You Easy,Zac Brown Band,16,pop,2015
Love You Like That,Canaan Smith,17,pop,2015
I See You,Luke Bryan,18,pop,2015
Burning House,Cam,19,pop,2015
Smoke,A Thousand Horses,20,pop,2015
Sippin' On Fire,Florida Georgia Line,21,pop,2015
Little Toy Guns,Carrie Underwood,22,pop,2015
Let Me See Ya Girl,Cole Swindell,23,pop,2015
Tonight Looks Good On You,Jason Aldean,24,pop,2015
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,25,pop,2015
Save It For A Rainy Day,Kenny Chesney,26,pop,2015
Love Me Like You Mean It,Kelsea Ballerini,27,pop,2015
Kiss You In The Morning,Michael Ray,28,pop,2015
One Hell Of An Amen,Brantley Gilbert,29,pop,2015
A Guy Walks Into A Bar,Tyler Farr,30,pop,2015
Nothin' Like You,Dan + Shay,31,pop,2015
Hell Of A Night,Dustin Lynch,32,pop,2015
Don't It,Billy Currington,33,pop,2015
Ain't Worth The Whiskey,Cole Swindell,34,pop,2015
Sun Daze,Florida Georgia Line,35,pop,2015
Something In The Water,Carrie Underwood,36,pop,2015
Say You Do,Dierks Bentley,37,pop,2015
Anything Goes,Florida Georgia Line,38,pop,2015
Lonely Eyes,Chris Young,39,pop,2015
Shotgun Rider,Tim McGraw,40,pop,2015
Talladega,Eric Church,41,pop,2015
Fly,Maddie & Tae,42,pop,2015
Just Gettin' Started,Jason Aldean,43,pop,2015
Young & Crazy,Frankie Ballard,44,pop,2015
Baby Be My Love Song,Easton Corbin,45,pop,2015
Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,46,pop,2015
I Got The Boy,Jana Kramer,47,pop,2015
Gonna Wanna Tonight,Chase Rice,48,pop,2015
Crushin' It,Brad Paisley,49,pop,2015
Mean To Me,Brett Eldredge,50,pop,2015
Homegrown Honey,Darius Rucker,51,pop,2015
Make Me Wanna,Thomas Rhett,52,pop,2015
Smoke Break,Carrie Underwood,53,pop,2015
Stay A Little Longer,Brothers Osborne,54,pop,2015
Raise 'Em Up,Keith Urban Featuring Eric Church,55,pop,2015
Wild Child,Kenny Chesney With Grace Potter,56,pop,2015
Real Life,Jake Owen,57,pop,2015
She Don't Love You,Eric Paslay,58,pop,2015
Die A Happy Man,Thomas Rhett,59,pop,2015
Little Red Wagon,Miranda Lambert,60,pop,2015
Like A Cowboy,Randy Houser,61,pop,2015
Perfect Storm,Brad Paisley,62,pop,2015
Gonna,Blake Shelton,63,pop,2015
Break Up In A Small Town,Sam Hunt,64,pop,2015
I'm To Blame,Kip Moore,65,pop,2015
21,Hunter Hayes,66,pop,2015
Already Callin' You Mine,Parmalee,67,pop,2015
Games,Luke Bryan,68,pop,2015
Til It's Gone,Kenny Chesney,69,pop,2015
Top Of The World,Tim McGraw,70,pop,2015
What We Ain't Got,Jake Owen,71,pop,2015
I Love This Life,LOCASH,72,pop,2015
Take It On Back,Chase Bryant,73,pop,2015
Dibs,Kelsea Ballerini,74,pop,2015
God Made Girls,RaeLynn,75,pop,2015
Riot,Rascal Flatts,76,pop,2015
Girl In A Country Song,Maddie & Tae,77,pop,2015
Gonna Know We Were Here,Jason Aldean,78,pop,2015
Long Stretch Of Love,Lady Antebellum,79,pop,2015
Going Out Like That,Reba,80,pop,2015
